Round,Node,Tasks
3,0,[0]
3,1,[1]
3,2,[2]
3,3,[3]
3,4,[4]
3,5,[5]
3,6,[6]
3,7,[61]
3,8,[65]
3,9,[66]
3,10,"[10, 62]"
3,11,[11]
3,12,"[12, 32]"
3,13,[13]
3,14,[14]
3,15,[15]
3,16,[16]
3,17,[58]
3,18,[18]
3,19,[19]
3,20,[20]
3,21,[21]
3,22,[22]
3,23,[23]
3,24,[24]
3,25,[25]
3,26,[26]
3,27,"[8, 27, 37]"
3,28,[28]
3,29,[29]
3,30,[30]
3,31,[31]
3,32,[64]
3,33,[33]
3,34,[34]
3,35,[59]
3,36,"[36, 68]"
3,37,[60]
3,38,[38]
3,39,[39]
3,40,"[9, 35, 40]"
3,41,[41]
3,42,[42]
3,43,[67]
3,44,[44]
3,45,[45]
3,46,[46]
3,47,[47]
3,48,"[43, 48]"
3,49,"[17, 49]"
3,50,"[7, 50]"
3,51,[51]
3,52,[52]
3,53,[53]
3,54,[54]
3,55,[55]
3,56,"[56, 63]"
3,57,[57]
4,0,[61]
4,1,[1]
4,2,[53]
4,3,[34]
4,4,[4]
4,5,"[5, 39, 59]"
4,6,"[6, 40, 49]"
4,7,[7]
4,8,"[23, 37, 41, 57, 60]"
4,9,"[8, 9, 32]"
4,10,[10]
4,11,[11]
4,12,[0]
4,13,"[13, 15, 51]"
4,14,"[14, 35]"
4,15,"[2, 42, 52]"
4,16,[16]
4,17,"[3, 17, 26, 54, 55]"
4,18,"[18, 45, 58]"
4,19,[31]
4,20,[20]
4,21,"[12, 19, 21, 56]"
4,22,"[22, 43]"
4,23,[44]
4,24,[24]
4,25,"[25, 47, 48]"
4,26,[50]
4,27,"[27, 33]"
4,28,"[28, 36, 38, 46]"
4,29,[29]
4,30,[30]
5,0,[0]
5,1,[29]
5,2,[38]
5,3,[33]
5,4,[4]
5,5,"[3, 5]"
5,6,"[2, 6]"
5,7,[27]
5,8,[34]
5,9,[9]
5,10,"[10, 28, 30]"
5,11,[11]
5,12,[12]
5,13,[37]
5,14,[35]
5,15,[15]
5,16,[16]
5,17,"[17, 24, 25]"
5,18,"[13, 18]"
5,19,[19]
5,20,"[7, 8, 14, 20]"
5,21,[21]
5,22,"[31, 36]"
5,23,"[1, 22, 23]"
5,24,"[26, 32]"
6,0,"[8, 14, 15, 34]"
6,1,"[18, 25, 30, 38]"
6,2,"[0, 2, 11, 12, 13, 27, 31, 39]"
6,3,"[3, 10, 17, 19, 20, 28, 32, 35]"
6,4,"[9, 23, 24, 26, 33, 36]"
6,5,"[1, 4, 5, 6, 7, 16, 21, 22, 29, 37]"
8,0,"[0, 12, 42]"
8,1,[61]
8,2,"[2, 45, 77]"
8,3,"[3, 46, 63, 74]"
8,4,"[4, 36, 56]"
8,5,"[5, 33, 39, 76]"
8,6,"[6, 24, 66]"
8,7,[35]
8,8,"[8, 53, 67, 70]"
8,9,"[9, 69]"
8,10,"[7, 10]"
8,11,"[34, 44, 62, 65]"
8,12,"[25, 72, 73]"
8,13,"[13, 37]"
8,14,[43]
8,15,"[47, 60, 75]"
8,16,"[14, 16]"
8,17,"[17, 52]"
8,18,"[18, 68]"
8,19,"[19, 31, 71]"
8,20,"[20, 38, 59]"
8,21,"[21, 49, 58]"
8,22,"[22, 55]"
8,23,"[11, 15, 23, 51]"
8,24,"[50, 78]"
8,25,[48]
8,26,"[26, 32, 40]"
8,27,"[27, 54]"
8,28,"[1, 28, 41, 57, 64]"
8,29,[29]
8,30,[30]
9,0,[94]
9,1,[72]
9,2,[73]
9,3,"[3, 97]"
9,4,[4]
9,5,[5]
9,6,[77]
9,7,[7]
9,8,[8]
9,9,"[83, 92]"
9,10,[70]
9,11,[11]
9,12,"[12, 68]"
9,13,"[13, 84]"
9,14,"[14, 78]"
9,15,[15]
9,16,[16]
9,17,[17]
9,18,[18]
9,19,[19]
9,20,[20]
9,21,"[0, 21, 41, 88]"
9,22,[22]
9,23,"[9, 23]"
9,24,"[24, 38, 85]"
9,25,[25]
9,26,[26]
9,27,[90]
9,28,[28]
9,29,[29]
9,30,[30]
9,31,"[33, 86]"
9,32,[32]
9,33,[71]
9,34,[87]
9,35,[82]
9,36,[36]
9,37,[37]
9,38,[74]
9,39,[39]
9,40,[81]
9,41,[93]
9,42,[42]
9,43,"[1, 43, 98]"
9,44,"[44, 64]"
9,45,"[10, 31, 45, 91]"
9,46,[46]
9,47,"[47, 69]"
9,48,"[6, 48]"
9,49,[49]
9,50,[50]
9,51,"[2, 51]"
9,52,[52]
9,53,[76]
9,54,[54]
9,55,[55]
9,56,"[56, 79]"
9,57,"[53, 57]"
9,58,"[58, 95]"
9,59,"[59, 80]"
9,60,"[40, 60, 89]"
9,61,"[35, 61, 63]"
9,62,"[34, 62]"
9,63,[96]
9,64,[75]
9,65,[65]
9,66,[66]
9,67,"[27, 67]"
10,0,[46]
10,1,[43]
10,2,[2]
10,3,[47]
10,4,[4]
10,5,"[3, 5]"
10,6,"[38, 39, 56, 61, 71]"
10,7,[57]
10,8,[8]
10,9,"[6, 9]"
10,10,"[1, 53]"
10,11,[11]
10,12,[52]
10,13,"[12, 13]"
10,14,"[14, 15, 17, 28]"
10,15,"[40, 60]"
10,16,"[16, 69]"
10,17,[65]
10,18,"[36, 48, 55, 68]"
10,19,"[49, 54]"
10,20,"[19, 20, 45]"
10,21,"[21, 44, 63, 67]"
10,22,[42]
10,23,[23]
10,24,[24]
10,25,[25]
